"Player","Team","Salary","Position","K","H","M","T","FF","FA","HO","B","G","CBA","KI","PO","FP","TOG","PPM"
"Darcy Fogarty","Adelaide Crows",388000,"FWD",4,3,2,2,3,2,0,1,1,0,0,0,36,88,0.32
"Nasiah Wanganeen-Milera","St Kilda",270000,"DEF/MID",6,1,3,2,1,1,0,1,0,0,0,0,36,33,0.91
"Sam Petrevski-Seton","West Coast Eagles",514000,"DEF",5,3,2,2,0,0,0,1,0,0,0,0,36,57,0.55
"Deven Robertson","Brisbane Lions",519000,"MID",3,2,0,4,0,0,0,0,1,5,0,0,35,54,0.53
"Jeremy McGovern","West Coast Eagles",604000,"DEF",9,3,3,0,2,3,0,0,0,0,2,1,35,85,0.36
"Willie Rioli","West Coast Eagles",293000,"FWD",5,2,4,1,0,2,0,0,1,7,0,0,35,65,0.47
"Robbie McComb","Western Bulldogs",190000,"MID",5,7,1,2,0,2,0,0,0,0,0,0,34,39,0.71
"Keidean Coleman","Brisbane Lions",343000,"DEF/FWD",6,1,2,2,0,0,0,0,0,0,1,0,34,30,0.92
"Liam Shiels","Hawthorn",706000,"MID",4,4,2,2,0,0,0,0,0,0,0,0,34,44,0.64
"Jackson Mead","Port Adelaide",190000,"MID",4,4,2,2,0,0,0,0,0,3,0,0,34,63,0.42
"Griffin Logue","Fremantle",406000,"DEF",3,6,3,1,0,0,0,0,0,0,0,0,34,80,0.37
"Harry McKay","Carlton",589000,"FWD",4,0,3,1,1,0,0,1,1,0,0,0,33,50,0.51
"Jayden Laverde","Essendon",484000,"DEF",5,5,2,1,1,1,0,0,0,0,0,0,33,78,0.35
"Josh Walker","North Melbourne",445000,"DEF",5,0,4,2,1,1,0,0,0,0,0,0,33,55,0.49
"Ed Curnow","Carlton",746000,"MID",2,4,0,3,0,0,0,0,1,0,0,0,32,34,0.72
"Ben McEvoy","Hawthorn",671000,"RUC/FWD",2,5,1,2,2,2,3,0,1,3,0,0,32,87,0.3
"Daniel McKenzie","St Kilda",501000,"MID",7,3,2,1,1,2,0,0,0,0,0,0,32,54,0.49
"Sam Reid","Sydney Swans",538000,"FWD",2,6,2,1,0,0,3,1,0,1,0,0,32,78,0.33
"Tom Williamson","Carlton",394000,"DEF",4,6,4,0,1,2,0,0,0,0,0,0,31,50,0.48
"Bigoa Nyuon","Richmond",190000,"DEF",5,2,4,0,0,0,0,0,0,0,0,0,31,40,0.64
"Jack Silvagni","Carlton",533000,"FWD",4,1,2,3,0,1,1,0,0,1,0,0,30,39,0.59
"Ned Reeves","Hawthorn",492000,"RUC",2,3,1,1,0,2,16,0,0,15,0,0,29,54,0.44
"Josh Sinn","Port Adelaide",268000,"DEF/MID",4,4,3,0,0,0,0,0,0,0,0,0,29,43,0.52
"Mitch Hannan","Western Bulldogs",444000,"FWD",5,2,0,2,1,0,0,0,0,0,0,0,28,78,0.29
"Dylan Grimes","Richmond",495000,"DEF",5,0,3,1,0,0,0,0,0,0,1,1,28,48,0.48
"Harry Cunningham","Sydney Swans",577000,"DEF",3,4,1,2,0,0,0,0,0,0,0,0,28,47,0.49
"Jacob Koschitzke","Hawthorn",412000,"FWD",4,1,2,2,1,3,0,1,1,0,0,0,27,49,0.45
"Sam Frost","Hawthorn",492000,"DEF",5,0,2,2,1,1,0,0,0,0,0,0,27,90,0.25
"Mitch Owens","St Kilda",226000,"MID",4,0,1,3,0,0,0,0,0,4,0,0,27,24,0.94
"Bailey J. Williams","West Coast Eagles",332000,"RUC/FWD",1,6,1,1,0,0,5,0,0,6,0,0,27,70,0.33
"Josh J. Kennedy","West Coast Eagles",502000,"FWD",4,1,3,1,0,0,0,0,0,0,0,0,27,80,0.29
"Jaidyn Stephenson","North Melbourne",711000,"FWD",6,2,3,1,0,3,0,0,0,0,0,0,26,77,0.28
"Corey Durdin","Carlton",190000,"FWD",5,0,0,0,0,1,0,0,2,0,0,0,24,43,0.43
"Kyron Hayden","North Melbourne",302000,"DEF",1,6,0,3,0,1,0,0,0,0,0,0,24,72,0.27
"Lachlan Gollant","Adelaide Crows",306000,"FWD",3,1,2,0,0,0,0,0,1,0,0,0,23,78,0.23
"Jarrod Brander","GWS Giants",517000,"MID",2,5,3,0,0,1,0,1,0,0,0,0,23,45,0.4
"Beau McCreery","Collingwood",349000,"FWD",1,3,1,2,0,1,0,0,1,0,0,0,23,72,0.25
"Luke Parks","Carlton",238000,"DEF",2,0,2,1,0,0,0,0,1,0,0,0,22,49,0.34
"Jack Billings","St Kilda",699000,"MID",2,3,0,2,1,0,0,0,0,0,0,0,21,42,0.42
"James Madden","Brisbane Lions",356000,"DEF",4,2,0,1,0,0,0,0,0,0,0,0,20,64,0.25
"Nathan Kreuger","Collingwood",287000,"DEF",4,1,3,0,0,1,0,0,0,0,0,0,20,35,0.45
"Tom Doedee","Adelaide Crows",538000,"DEF",2,3,2,1,0,1,0,0,0,0,0,0,19,44,0.33
"Will Martyn","Richmond",268000,"MID",2,0,1,2,1,0,0,0,0,6,0,0,18,23,0.65
"Patrick Lipinski","Collingwood",606000,"MID",0,5,0,2,0,0,0,0,0,4,0,0,18,20,0.71
"Rory Lobb","Fremantle",591000,"FWD",1,2,1,2,1,1,2,0,0,3,0,0,18,39,0.4
"Oskar Baker","Melbourne",447000,"MID",4,1,2,0,0,1,0,0,0,0,0,0,17,37,0.35
"Zaine Cordy","Western Bulldogs",373000,"DEF",3,3,1,0,2,1,0,0,0,0,0,0,17,91,0.15
"Denver Grainger-Barras","Hawthorn",272000,"DEF",4,2,1,0,1,1,0,0,0,0,0,0,17,79,0.18
"Ben Davis","Adelaide Crows",318000,"DEF/FWD",3,4,1,0,0,1,0,0,0,0,1,1,17,45,0.29
"Elliott Himmelberg","Adelaide Crows",493000,"FWD",3,3,0,0,2,2,0,0,1,0,0,0,17,55,0.24
"Alex Keath","Western Bulldogs",457000,"DEF",3,2,1,0,0,0,0,0,0,0,0,0,16,44,0.3
"Daniel Lloyd","GWS Giants",550000,"FWD",2,3,0,0,1,1,0,0,1,0,0,0,16,33,0.38
"Lachlan McAndrew","Sydney Swans",190000,"RUC",0,4,1,2,0,1,0,0,0,3,0,0,16,14,0.93
"Sam Weideman","Melbourne",350000,"FWD",1,1,2,1,0,0,0,0,0,0,0,0,15,14,0.82
"Harry Sharp","Brisbane Lions",198000,"MID",2,1,1,1,0,0,0,0,0,0,0,0,15,30,0.41
"Luke Pedlar","Adelaide Crows",210000,"MID/FWD",1,2,0,0,0,0,0,0,1,0,0,0,13,15,0.67
"Cooper Sharman","St Kilda",463000,"FWD",2,1,1,0,0,0,0,0,0,0,0,0,11,17,0.54
"Eddie Ford","North Melbourne",346000,"FWD",1,2,1,0,1,0,0,0,0,0,0,0,11,25,0.36
"Lachie Plowman","Carlton",403000,"DEF",2,0,2,0,0,1,0,1,0,0,0,0,10,74,0.1
"Tyler Brockman","Hawthorn",360000,"FWD",0,1,0,2,0,0,0,0,0,0,0,0,10,30,0.27
"Maurice Rioli","Richmond",190000,"MID/FWD",1,2,1,0,0,0,0,0,0,0,0,0,10,17,0.49
"Sam Berry","Adelaide Crows",359000,"FWD",3,3,0,0,1,2,0,0,0,14,0,0,10,40,0.19
"Sam Mayes","Port Adelaide",586000,"FWD",1,2,1,0,0,0,0,0,0,0,0,0,10,36,0.21
"Brandon Zerk-Thatcher","Essendon",310000,"DEF",1,5,0,0,0,1,0,0,0,0,0,0,10,24,0.35
"Joshua Goater","North Melbourne",248000,"MID",2,2,0,0,0,0,0,0,0,0,0,0,10,34,0.24
"Ben Ronke","Sydney Swans",337000,"FWD",2,0,1,0,0,0,0,0,0,0,0,0,9,11,0.67
"Conor Stone","GWS Giants",258000,"MID/FWD",1,1,1,0,0,0,0,0,0,0,0,0,8,30,0.21
"Matty Roberts","Sydney Swans",224000,"MID",1,1,0,1,1,1,0,0,0,2,0,0,7,13,0.44
"Robbie Gray","Port Adelaide",609000,"FWD",0,3,0,0,0,0,0,0,0,0,0,0,6,18,0.26
"Daniel Turner","Melbourne",190000,"DEF",0,0,0,1,0,0,0,0,0,0,0,0,4,25,0.12
"Jack Payne","Brisbane Lions",446000,"DEF",1,0,0,0,0,0,0,0,0,0,1,0,3,19,0.13
"Marcus Windhager","St Kilda",198000,"MID/FWD",0,1,0,1,0,1,0,0,0,0,0,0,3,32,0.08
"Callum Jamieson","West Coast Eagles",190000,"RUC",0,0,0,0,0,0,1,0,0,3,0,0,1,11,0.08
"Kade Chandler","Melbourne",190000,"FWD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Toby Bedford","Melbourne",202000,"FWD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Cody Raak","Western Bulldogs",190000,"DEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Emerson Jeka","Hawthorn",201000,"FWD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Tom Brown","Richmond",258000,"DEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Ben Hobbs","Essendon",266000,"MID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Nick Bryan","Essendon",410000,"RUC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Ethan Hughes","Fremantle",508000,"DEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Xavier O'Neill","West Coast Eagles",365000,"MID/FWD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
